original_filename,page,file_url,platform_link,SupplierName,InvoiceNumber,Total,InvoiceDate,Project_Name,Qty,Item,Unit_Price,Description,Amount,col1,col2,col3
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,1,,Construction entrance ( 1 ),"$ 2,650.00","$ 2,660.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,2,,Shaker plate ( 3 plates for 12 months ),"$ 4,900.00","$ 4,900.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,3,,"Gravel bags ( 4,200 )","$ 7,560.00","$ 7,560.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,4,,"Gravel bags ( 5,270 )","$ 9,486.00","$ 9,486.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,5,,"Hydro - seeding ( 199,393 sqft )","$ 15,951.44","$ 15,951.44",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,6,,BMP stockpile ( 1 ),"$ 1,500.00","$ 1,500,00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,7,,BMP removal ( 1 ),"$ 4,200.00","$ 4,200.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,8,,Area drain inlet protection ( 81 ),"$ 2,025.00","$ 2,025.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,9,,Storm drain inlet protection ( 3 ),$ 225.00,$ 225.00,$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,10,,BMP maintenance ( semi monthly ) ( 12 ),"$ 10,800.00","$ 10,800.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,11,,BMP removal - stockpile area ( 1 ),"$ 1,500.00","$ 1,500.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,12,,Stockpile ( 1 ),"$ 1,300.56","$ 1,300.56",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,13,,Starm water pollution prevention plan amendment ( 1 ),"$ 1,800.00","$ 1,800.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,14,,Maintenance inspections ( 52 ),"$ 11,700.00","$ 11,700.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,15,,Quarterly non - strorm water report ( 4 ),"$ 1,200.00","$ 1,200.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,16,,Rain event inspections ( 12 ),"$ 6,000.00","$ 6,000.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,17,,Annual report ( 1 ),"$ 2,350.00","$ 2,350.00",$ 0.00,
Screenshot 2023-11-13 160344.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/0033a003-f467-4b6e-b67a-110d52bf8461.jpeg?expires=1699886522&or=0&s=4b84f6e8b2c6e50d4c2e7a452796ea6e,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/85b4ad53-8210-11ee-9535-3e4046c83b8b,Ground Service,33,,8/18/2023,,,18,,Notice of termination ( 1 ),$ 875.00,$ 875.00,$ 0.00,
